,MPD01,MPD02,MPD03,MPD04,MPD05,MPD06,MPD07,MPD08,MPD09,MPD10,MPD11,MPD12,MPD14,MPD15,MPD16
1685,0.696006462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.663217914,NA
1686,0.689756724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564485345,NA
1687,1.094969524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.569845249,NA
1688,0.844023379,NA,NA,NA,NA,0.547111561,NA,NA,NA,NA,NA,NA,NA,0.504865971,NA
1689,1.154713499,NA,NA,NA,NA,0.812884447,NA,NA,NA,NA,NA,NA,NA,0.480865002,NA
1690,0.695499383,NA,NA,NA,NA,0.264212095,NA,NA,NA,NA,NA,NA,NA,0.327860922,NA
1691,0.805370883,NA,NA,NA,NA,0.481572404,NA,NA,NA,NA,NA,NA,NA,0.488186198,NA
1692,0.754962357,NA,NA,NA,NA,0.467610007,NA,NA,NA,NA,NA,NA,NA,0.6070331,NA
1693,1.128589033,NA,NA,NA,NA,1.0078224,NA,NA,NA,NA,NA,NA,NA,1.119464674,NA
1694,1.013564613,NA,NA,NA,NA,1.072939323,NA,NA,NA,NA,NA,NA,NA,0.759924897,NA
1695,0.689210005,NA,NA,NA,NA,0.187000285,NA,NA,NA,NA,NA,NA,NA,0.058716174,NA
1696,0.94782358,NA,NA,NA,NA,1.411399496,NA,NA,NA,NA,NA,NA,NA,0.854541676,NA
1697,1.111121867,NA,NA,NA,NA,1.455190762,NA,NA,NA,NA,NA,NA,NA,1.270831425,NA
1698,1.06154829,NA,NA,NA,NA,1.361264664,NA,NA,NA,NA,NA,NA,NA,1.081123191,NA
1699,1.005106131,NA,NA,NA,NA,0.908338808,NA,NA,NA,NA,NA,NA,NA,1.646334813,NA
1700,1.22563956,NA,NA,NA,NA,1.698726344,NA,NA,NA,NA,NA,NA,NA,1.276489626,NA
1701,1.027573648,NA,NA,NA,NA,1.197979583,NA,NA,NA,NA,NA,NA,NA,1.172596337,NA
1702,1.312668692,NA,NA,NA,NA,1.88869151,NA,NA,NA,NA,NA,NA,NA,1.705679877,NA
1703,1.33447233,NA,NA,NA,NA,1.553806022,NA,NA,NA,NA,NA,NA,NA,1.67350707,NA
1704,1.647873728,NA,NA,NA,NA,2.335254505,NA,NA,NA,NA,NA,NA,NA,1.536721725,NA
1705,1.217964474,NA,NA,NA,NA,1.161265708,NA,NA,NA,NA,NA,NA,NA,0.928041069,NA
1706,1.046494819,NA,NA,NA,NA,1.127333458,NA,NA,NA,NA,NA,NA,NA,0.278794033,NA
1707,1.165093207,NA,NA,NA,NA,0.593674919,NA,NA,NA,NA,NA,NA,NA,0.306675448,NA
1708,1.124124859,NA,NA,NA,NA,1.172965553,NA,NA,NA,NA,NA,NA,NA,0.479207418,NA
1709,0.976184444,NA,NA,NA,NA,1.168330235,NA,NA,NA,NA,NA,NA,NA,0.432812546,NA
1710,1.267586604,NA,NA,NA,NA,1.173779294,NA,NA,NA,NA,NA,NA,NA,0.329380912,NA
1711,1.27811452,NA,NA,NA,NA,1.338395043,NA,NA,NA,NA,NA,NA,NA,0.482917819,NA
1712,1.411527167,NA,NA,NA,NA,1.347147463,NA,NA,NA,NA,1.107744216,NA,NA,0.67562337,NA
1713,1.228959173,NA,NA,NA,NA,0.887350986,NA,NA,NA,NA,1.239966192,NA,NA,0.34844605,NA
1714,1.098750829,NA,NA,NA,NA,1.138754435,NA,NA,NA,NA,1.004238189,NA,NA,0.551659715,NA
1715,0.930701729,NA,NA,NA,NA,0.788395063,NA,NA,NA,NA,1.150956463,NA,NA,0.681875482,NA
1716,0.917966532,NA,NA,NA,NA,1.366814411,NA,NA,NA,NA,1.363933493,NA,NA,0.997300032,NA
1717,0.938420908,NA,NA,NA,NA,1.009156366,NA,NA,NA,NA,0.877045545,NA,NA,0.865227517,NA
1718,0.962996443,NA,NA,NA,NA,0.352976146,NA,NA,NA,NA,0.844951781,NA,NA,0.67019643,NA
1719,0.961379981,NA,NA,NA,NA,0.706616628,NA,NA,NA,NA,0.798218586,NA,NA,0.609488121,NA
1720,0.593733348,NA,NA,NA,NA,0.524763299,NA,NA,NA,NA,0.655902753,NA,NA,0.396565005,NA
1721,0.69700187,NA,NA,NA,NA,0.475832586,NA,NA,NA,NA,0.573156967,NA,NA,0.239702382,NA
1722,0.740943627,NA,NA,NA,NA,0.566850962,NA,NA,NA,NA,1.516551227,NA,NA,0.709045018,NA
1723,0.818803349,NA,NA,NA,NA,0.901429669,NA,NA,NA,NA,1.468150587,NA,NA,1.410351013,NA
1724,0.997808009,NA,NA,NA,NA,1.101125459,NA,NA,NA,NA,1.354424353,NA,NA,2.442289779,NA
1725,0.97505633,NA,NA,NA,NA,0.635279094,NA,NA,NA,NA,0.805764006,NA,NA,2.038333259,NA
1726,0.839858894,NA,NA,NA,NA,0.723004499,NA,NA,NA,NA,0.564407638,NA,NA,1.903992876,NA
1727,0.963013714,NA,NA,NA,NA,0.826773047,NA,NA,NA,NA,0.966456571,NA,NA,0.776510176,NA
1728,0.950035592,NA,NA,NA,NA,0.723729132,NA,NA,NA,NA,0.821265855,NA,NA,0.834402041,1.48182979
1729,0.876799891,NA,NA,NA,NA,0.777525969,NA,NA,NA,NA,0.757278017,NA,NA,0.969608141,0.967200986
1730,1.012192112,NA,NA,NA,NA,0.58734974,NA,NA,NA,NA,0.976003994,NA,NA,0.778599191,1.081559821
1731,1.061754487,NA,NA,NA,NA,0.640322394,NA,NA,NA,NA,0.766039793,NA,NA,1.437758298,0.89179611
1732,1.099980365,NA,NA,NA,NA,1.078311293,NA,NA,NA,NA,1.268945324,NA,NA,1.256491875,1.37766223
1733,1.011996727,NA,NA,NA,NA,0.925733437,NA,NA,NA,NA,1.025351233,NA,NA,1.208262037,1.175997119
1734,0.779591201,NA,NA,NA,NA,0.589978777,NA,NA,NA,NA,0.741587876,NA,NA,0.950174546,0.831801273
1735,0.809603462,NA,NA,NA,NA,0.5415705,NA,NA,NA,NA,0.781794481,NA,NA,1.063502342,0.798934964
1736,0.688214151,NA,NA,NA,NA,0.828785265,NA,NA,NA,NA,0.71305013,NA,NA,0.360482948,0.289200059
1737,1.032811531,NA,NA,NA,NA,1.613313507,NA,NA,NA,NA,1.149751238,NA,NA,0.905708182,0.529898208
1738,1.363767294,NA,NA,NA,NA,1.806968847,NA,NA,NA,NA,1.211719167,NA,NA,2.162352452,1.170176119
1739,0.927944239,NA,NA,NA,NA,0.914065429,NA,NA,NA,NA,0.874437408,NA,NA,1.481414827,0.812883793
1740,1.154535225,NA,NA,NA,NA,1.648127875,NA,NA,NA,NA,0.853442968,NA,NA,1.740113173,1.098647122
1741,0.761535348,NA,NA,NA,NA,1.005807797,NA,NA,NA,NA,0.562260736,NA,NA,1.711341653,0.629655843
1742,0.817136924,NA,NA,NA,NA,0.480045941,NA,NA,NA,NA,0.804594824,NA,NA,1.519837776,0.718716681
1743,0.909058222,NA,NA,NA,NA,0.763213134,NA,NA,NA,NA,1.094795535,NA,NA,1.884533422,0.888929524
1744,0.696817851,NA,NA,NA,NA,0.616211508,NA,NA,NA,NA,0.67383518,NA,NA,1.535287915,0.87075454
1745,0.882306554,NA,NA,NA,NA,1.177628836,NA,NA,NA,NA,0.856594293,NA,NA,0.419490055,1.010165758
1746,1.017554256,NA,NA,NA,NA,0.374513305,NA,NA,NA,NA,0.970856213,NA,NA,0.479776819,0.677613899
