year,nonhost
1685,-0.105574034
1686,0.182761535
1687,-0.656802022
1688,-1.972864211
1689,-0.360190059
1690,-1.452385686
1691,-0.998326027
1692,0.861386951
1693,0.379439691
1694,0.521461903
1695,-2.448776114
1696,-0.51853721
1697,0.665622049
1698,-0.353133138
1699,-0.041223344
1700,0.644446984
1701,0.149758326
1702,2.039426483
1703,1.920808056
1704,3.084933257
1705,0.726585962
1706,-0.202825476
1707,0.776441849
1708,-0.069027371
1709,0.151962907
1710,0.686371814
1711,1.010020367
1712,2.006812872
1713,-0.480103142
1714,-0.904123208
1715,1.955216034
1716,2.092149215
1717,-2.193533124
1718,-2.109709095
1719,-1.44283975
1720,-1.534558585
1721,-3.216440903
1722,-0.273191857
1723,0.045795781
1724,0.174116244
1725,-1.434630681
1726,-1.025698014
1727,0.367293797
1728,-0.911813569
1729,-1.558668053
1730,-0.295323066
1731,-0.29485125
1732,2.092647547
1733,0.160724688
1734,-0.273370612
1735,-0.051544729
1736,-1.06032243
1737,0.37128932
1738,0.837155287
1739,-0.973721908
1740,-1.116704155
1741,-2.433253222
1742,0.186538114
1743,-0.251480868
1744,-1.08295807
1745,0.981129802
1746,0.716097443
1747,1.294461192
1748,0.868941984
1749,1.257384318
1750,3.865433493
1751,0.649808503
1752,0.922953151
1753,0.224558939
1754,0.117051582
1755,1.369182071
1756,-1.880375118
1757,-2.870837148
1758,-1.793797064
1759,-2.035427685
1760,-1.036944571
1761,1.988187216
1762,1.736079501
1763,1.967647237
1764,-0.796557345
1765,1.507147061
1766,2.580462565
1767,1.414973127
1768,-0.626466033
1769,-1.365541109
1770,-0.574530998
1771,0.431541864
1772,-1.969384991
1773,-0.234015525
1774,1.594291732
1775,1.633058776
1776,-1.126615989
1777,-0.371733836
1778,-0.07704521
1779,-0.691495099
1780,0.45136208
1781,-0.397068176
1782,-1.362342333
1783,-5.137125061
1784,-1.339521888
1785,-0.438358098
1786,-0.723828029
1787,-1.06645178
1788,-1.120850476
1789,0.761285673
1790,0.072945341
1791,2.040907077
1792,2.384977911
1793,3.528365353
1794,0.285283659
1795,0.158294686
1796,-0.030154584
1797,-2.699753009
1798,-1.994151857
1799,-1.471567425
1800,-1.516409227
1801,0.407214285
1802,0.15876769
1803,0.506279073
1804,-0.486848519
1805,0.536703395
1806,0.53951958
1807,-0.243582042
1808,0.41329721
1809,1.424009917
1810,0.319569036
1811,0.530156257
1812,-0.170751494
1813,-0.275357037
1814,2.561641506
