,TMD01,TMD02,TMD03,TMD04,TMD05,TMD06,TMD07,TMD08,TMD09,TMD10,TMD11,TMD12,TMD13,TMD14,TMD15,TMD16,TMD17,TMD18,TMD19,TMD20
1685,0.333184831,NA,NA,0.910502677,NA,NA,NA,NA,NA,NA,NA,0.855525045,0.85752405,NA,NA,0.822772493,NA,NA,NA,NA
1686,0.321143017,NA,NA,0.780171243,NA,NA,NA,NA,NA,NA,NA,0.688258156,0.737974484,NA,NA,0.914232192,NA,NA,NA,NA
1687,0.177112243,NA,NA,0.883899014,NA,NA,NA,NA,NA,NA,NA,0.730256977,0.835773269,NA,NA,0.585438615,NA,NA,NA,NA
1688,0.213942855,NA,NA,0.762763681,NA,NA,NA,NA,NA,NA,NA,0.41140417,0.465592718,NA,NA,0.304268819,NA,NA,NA,NA
1689,0.554760974,NA,NA,0.999477165,NA,NA,NA,NA,NA,NA,NA,0.624152895,0.752596193,NA,NA,0.898242789,NA,NA,NA,NA
1690,0.393027986,NA,NA,0.751519089,NA,NA,NA,NA,NA,NA,NA,0.464684988,0.619716849,NA,NA,0.77477782,NA,NA,NA,NA
1691,0.482315311,NA,NA,0.996632832,NA,NA,NA,NA,NA,NA,NA,0.719872137,0.755516775,NA,NA,1.016720266,NA,NA,NA,NA
1692,0.271935512,NA,NA,0.692705969,NA,NA,NA,NA,NA,NA,NA,0.590373561,0.827898257,NA,NA,0.697238898,NA,NA,NA,NA
1693,0.587475125,NA,NA,1.336606059,NA,NA,NA,NA,NA,NA,NA,0.981276271,1.178689964,NA,NA,1.43947807,NA,NA,NA,NA
1694,1.143592101,NA,NA,1.03266057,NA,NA,NA,NA,NA,NA,NA,0.985706946,1.226085603,NA,NA,1.594215107,NA,NA,NA,NA
1695,0.814909944,NA,NA,0.783864941,NA,NA,NA,NA,NA,NA,NA,0.495252601,0.783464673,NA,NA,0.658472671,NA,NA,NA,NA
1696,1.141645486,NA,NA,1.042082738,NA,NA,NA,NA,NA,NA,NA,1.016462019,1.048220187,NA,NA,1.038029484,NA,NA,NA,NA
1697,1.486957939,NA,NA,1.278541367,NA,NA,NA,NA,NA,NA,NA,1.835899669,1.36680305,NA,NA,1.347457578,NA,NA,NA,NA
1698,1.324474617,NA,NA,1.230332363,NA,NA,NA,NA,NA,NA,NA,1.25951006,1.108086765,NA,NA,1.12903297,NA,NA,NA,NA
1699,1.157132064,NA,NA,0.997905467,NA,NA,NA,NA,NA,NA,NA,1.394791511,0.834879793,NA,NA,1.26200119,NA,NA,NA,NA
1700,1.963608605,NA,NA,1.558601278,NA,1.418248065,NA,NA,NA,NA,NA,1.852023736,1.452219268,NA,NA,1.44734565,NA,NA,NA,NA
1701,1.780750611,NA,NA,1.257382756,NA,1.056186689,NA,NA,NA,NA,NA,1.437556263,1.125707053,NA,NA,1.780566421,NA,NA,NA,NA
1702,2.634369827,2.619251651,NA,1.23209695,NA,1.123055966,NA,NA,NA,NA,NA,2.423602794,1.625192309,NA,NA,2.4360425,NA,NA,NA,NA
1703,1.595513434,1.370316039,NA,1.413920204,NA,1.182840027,NA,NA,NA,NA,NA,1.637851786,1.600991821,NA,NA,1.35529581,NA,NA,NA,NA
1704,2.389903188,0.503730484,NA,1.374485914,NA,1.298343988,NA,NA,NA,NA,NA,1.808307993,1.838387504,NA,NA,1.82146539,NA,NA,NA,NA
1705,1.29945122,1.14372185,NA,0.884976989,NA,0.859357954,NA,NA,NA,NA,NA,1.214420684,1.613047843,NA,NA,0.990775435,NA,NA,NA,NA
1706,1.100735974,0.772737582,NA,1.013871314,NA,0.936369062,NA,NA,NA,NA,NA,0.811049021,1.148855982,NA,NA,1.064587939,NA,NA,NA,NA
1707,0.578517809,0.746681177,NA,0.891177537,NA,0.799243177,NA,NA,NA,NA,NA,0.991404102,1.279059737,NA,NA,0.419862941,NA,NA,NA,NA
1708,0.87366981,1.056141503,NA,1.023970933,NA,0.94423306,NA,NA,NA,NA,NA,1.003459372,1.07661694,NA,NA,1.093046757,NA,NA,NA,NA
1709,0.722067653,0.913411053,NA,0.798815542,NA,1.01592694,NA,NA,NA,NA,NA,1.074575282,1.079139936,NA,NA,0.872623379,NA,NA,NA,NA
1710,1.177000042,0.977217201,NA,1.132640825,NA,0.922722426,NA,NA,NA,NA,NA,1.349050834,1.866780881,NA,NA,1.058466529,NA,NA,NA,NA
1711,1.081909647,1.116251382,NA,1.1660626,NA,0.946178878,NA,NA,NA,NA,NA,1.151490414,1.931091881,NA,NA,1.016518091,NA,NA,NA,NA
1712,1.282662197,1.204328121,NA,1.280370643,NA,1.950497372,NA,NA,NA,NA,NA,0.924362037,1.997885975,NA,NA,1.131644206,NA,NA,NA,NA
1713,0.979141185,1.010043902,NA,0.737895119,NA,1.230649313,NA,NA,NA,NA,NA,1.172049444,2.048364353,NA,NA,1.204984547,NA,NA,NA,NA
1714,0.789773651,0.944867561,NA,1.193177174,NA,1.90451938,NA,NA,NA,NA,NA,1.026511637,1.490057684,NA,NA,1.431526564,NA,NA,NA,NA
1715,0.629489044,0.939396014,NA,0.727440444,NA,1.161743501,NA,NA,NA,NA,NA,1.143487963,1.636966961,NA,NA,0.987550357,NA,NA,NA,NA
1716,0.874975937,0.851514532,NA,1.058820518,NA,0.900248529,NA,NA,NA,NA,NA,1.289778445,1.923682543,NA,NA,0.788214534,NA,NA,NA,NA
1717,0.678043384,0.841579669,NA,0.725930031,NA,0.587221853,NA,NA,NA,NA,NA,0.628553668,0.804445572,NA,NA,0.485288369,NA,NA,NA,NA
1718,0.499106256,0.851400826,NA,0.669314605,NA,0.187550983,NA,NA,NA,NA,NA,0.731273835,0.892164192,0.631927412,NA,0.600410175,NA,NA,NA,NA
1719,0.69698459,0.967792697,NA,0.91229188,NA,0.414046782,NA,NA,NA,0.975854668,NA,0.661500051,0.942152147,0.768136144,NA,0.597291009,NA,NA,NA,NA
1720,0.500469309,0.745342175,NA,0.594070808,NA,0.261006039,NA,NA,NA,0.728258329,NA,0.479721072,0.547539612,0.661531902,NA,0.368831115,NA,NA,NA,NA
1721,0.666648513,0.78487176,NA,0.741765932,NA,0.391165578,NA,NA,NA,0.669763658,NA,0.417417256,0.574700938,0.563317758,NA,0.772822518,NA,NA,NA,NA
1722,0.828759223,0.71319961,NA,0.64261377,NA,0.932835633,NA,NA,NA,1.147213806,NA,0.508386771,0.374075193,0.815112292,NA,0.968960628,NA,NA,NA,NA
1723,0.654964738,0.791989483,NA,0.81828612,NA,0.815203557,NA,NA,NA,0.70672159,NA,0.702133642,0.526220698,1.010738955,NA,0.699847745,NA,NA,NA,NA
1724,0.886411507,0.714828584,NA,0.963719292,NA,0.813750549,NA,NA,NA,0.843975107,NA,0.72676208,0.447814949,1.041607408,NA,0.593614109,NA,NA,NA,NA
1725,0.763657993,0.568795122,NA,0.739516489,NA,0.642219616,NA,NA,NA,0.559968044,NA,0.69272956,0.496982675,0.738269766,NA,0.606442275,NA,NA,NA,NA
1726,0.721516883,0.679926566,NA,0.7908126,NA,0.380235391,NA,NA,NA,0.653801026,NA,0.43324353,0.350368742,0.707222625,NA,0.420195402,NA,NA,NA,NA
1727,1.032510246,0.961675173,NA,1.007335016,NA,0.732292382,NA,NA,NA,1.258905739,NA,0.620571791,0.443876948,0.917072861,NA,0.566528976,NA,NA,NA,NA
1728,0.939354552,1.344299641,NA,0.959672735,NA,0.665446473,NA,NA,NA,1.540013071,NA,0.567118708,0.539866953,1.02986526,NA,0.462017346,NA,NA,NA,NA
1729,1.209826179,1.020119632,NA,1.078613666,NA,1.066575947,NA,NA,NA,1.353536442,NA,0.791194457,0.661173271,1.085166182,NA,0.785791273,NA,NA,NA,NA
1730,1.179361782,0.912074488,NA,0.97041594,NA,1.399509903,NA,NA,NA,1.284656921,NA,0.659127184,0.739423756,1.028457902,NA,1.107134589,NA,NA,NA,NA
1731,0.963892763,1.008481617,NA,0.941184782,NA,1.018653336,NA,NA,NA,0.797030336,NA,0.523598117,0.585438128,0.992340099,NA,0.65320031,NA,NA,NA,NA
1732,1.152542807,1.035589529,NA,1.235875198,NA,1.198043231,NA,NA,NA,0.992399933,NA,0.769556907,0.735631349,1.189824595,NA,0.966102176,NA,NA,NA,NA
1733,1.185778243,1.340774118,NA,1.177471553,NA,0.91549415,NA,NA,NA,0.80135619,NA,1.036198696,0.793451664,1.256431672,NA,0.970230705,NA,NA,NA,NA
